uid,domainID,siteID,namedLocation,date,eventID,sampleDepth,waterTemp,specificConductance,dissolvedOxygen,dissolvedOxygenSaturation,dataQF,publicationDate,release
999059a7-6a41-4386-bda1-3f8395dbd961,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,2,31.3,55.9,6.2,84,,20211222T025940Z,RELEASE-2022
95e73b88-8b1f-488b-9d34-f38171e59c52,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,0.5,31.3,55.7,6.1,82,,20211222T025940Z,RELEASE-2022
403d1b69-4625-449e-b2c5-6e29a45ad45e,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,3.5,31.3,56.4,6.1,82,,20211222T025940Z,RELEASE-2022
1acb7a45-aaa6-4f7c-9c1c-cd3cb3795e9b,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,4.5,31.3,56.4,6.4,87,,20211222T025940Z,RELEASE-2022
77909c75-9d63-4c92-ae24-1016774f4cd9,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,1.5,31.3,55.8,6.4,86,,20211222T025940Z,RELEASE-2022
3d9cea78-5b74-416c-95fc-e72ae0ee066e,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,1,31.3,55.7,6.3,85,,20211222T025940Z,RELEASE-2022
4a6660b2-71e8-4c09-bee5-89d2c758e460,D03,BARC,BARC.AOS.buoy.c0,2015-07-15T16:00Z,BARC.c0.20150715,3,31.3,56.3,6.1,84,,20211222T025940Z,RELEASE-2022
f37c1efe-9709-41bf-810a-c00479fa67c2,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T16:00Z,BARC.c0.20150723,4.5,31.1,57,6.4,86,,20211222T025940Z,RELEASE-2022
74421183-2fcc-467a-b52e-d004388c7901,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T16:00Z,BARC.c0.20150723,2.5,31.2,56.8,6.3,85,,20211222T025940Z,RELEASE-2022
1ba27f79-06df-4a1c-91f7-6e62ed3eba85,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T16:00Z,BARC.c0.20150723,3,31.2,56.9,6.1,82,,20211222T025940Z,RELEASE-2022
80a0f8a9-78c7-4407-b75c-f03cf24e1b7f,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T16:00Z,BARC.c0.20150723,1.5,31.3,56.6,6.3,85,,20211222T025940Z,RELEASE-2022
4650e7d7-9a36-4c31-a1fb-b29b29263e24,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T16:00Z,BARC.c0.20150723,3.5,31.1,56.9,6.1,82,,20211222T025940Z,RELEASE-2022
cdb4f114-1256-4259-a22e-8b264616b5ca,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T16:00Z,BARC.c0.20150723,4,31.1,57,6.4,86,,20211222T025940Z,RELEASE-2022
76f0af2f-d4ec-4e8e-91aa-9c2db5f56fbd,D03,BARC,BARC.AOS.buoy.c0,2015-07-23T16:00Z,BARC.c0.20150723,2,31.2,56.7,6,82,,20211222T025940Z,RELEASE-2022
